GND	WIKI PAGE DE	HITS (btw 2014/05/28 and 2014/06/26)	AVG HITS (per day)	CHAR_COUNT (on 2014/06/28)	WORD_COUNT (on 2014/06/28)
http://d-nb.info/gnd/118779389	http://de.wikipedia.org/wiki/Camille_Lemonnier	54	1.8	1098	107
http://d-nb.info/gnd/127929444		0	0	0	0
http://d-nb.info/gnd/105261106		0	0	0	0
http://d-nb.info/gnd/104851678	http://de.wikipedia.org/wiki/Iwan_Bloch	240	8	8563	995
http://d-nb.info/gnd/117332496	http://de.wikipedia.org/wiki/Klara_Weyl	52	1.73	2432	274
http://d-nb.info/gnd/120199939	http://de.wikipedia.org/wiki/Henry_Wickham_Steed	71	2.37	5701	692
http://d-nb.info/gnd/118581384	http://de.wikipedia.org/wiki/Johannes_Messner	266	8.87	9917	1097
http://d-nb.info/gnd/120144085		0	0	0	0
http://d-nb.info/gnd/137189435		0	0	0	0
http://d-nb.info/gnd/118778218	http://de.wikipedia.org/wiki/B%C3%A9la_Kun	845	28.17	11358	1384
http://d-nb.info/gnd/119331551	http://de.wikipedia.org/wiki/Klara_Blum	298	9.93	5653	650
http://d-nb.info/gnd/1047431335		0	0	0	0
http://d-nb.info/gnd/133041697	http://de.wikipedia.org/wiki/Hugo_Efferoth	48	1.6	4368	504
http://d-nb.info/gnd/101533217		0	0	0	0
http://d-nb.info/gnd/137866607		0	0	0	0
http://d-nb.info/gnd/126597790		0	0	0	0
http://d-nb.info/gnd/125976437		0	0	0	0
http://d-nb.info/gnd/118909703		0	0	0	0
http://d-nb.info/gnd/2097314-7		0	0	0	0
http://d-nb.info/gnd/118514482		0	0	0	0
http://d-nb.info/gnd/118758985	http://de.wikipedia.org/wiki/Hans-Joachim_Schoeps	517	17.23	19276	2184
http://d-nb.info/gnd/125800126		0	0	0	0
http://d-nb.info/gnd/101422202	http://de.wikipedia.org/wiki/Richard_Lipinski	211	7.03	17895	2128
http://d-nb.info/gnd/101604602		0	0	0	0
http://d-nb.info/gnd/11863027X	http://de.wikipedia.org/wiki/Felix_Weingartner	481	16.03	6947	805
http://d-nb.info/gnd/11889143X		0	0	0	0
http://d-nb.info/gnd/100796451		0	0	0	0
http://d-nb.info/gnd/126476292		0	0	0	0
http://d-nb.info/gnd/105278203		0	0	0	0
http://d-nb.info/gnd/110383508		0	0	0	0
http://d-nb.info/gnd/101431996		0	0	0	0
http://d-nb.info/gnd/119254069	http://de.wikipedia.org/wiki/Wilhelm_Dittmann	219	7.3	6552	740
http://d-nb.info/gnd/107380331		0	0	0	0
http://d-nb.info/gnd/102586012		0	0	0	0
http://d-nb.info/gnd/119361973	http://de.wikipedia.org/wiki/Camill_Hoffmann	68	2.27	2602	267
http://d-nb.info/gnd/10188494X		0	0	0	0
http://d-nb.info/gnd/101558570		0	0	0	0
http://d-nb.info/gnd/118655450	http://de.wikipedia.org/wiki/Edvard_Bene%C5%A1	6976	232.53	18920	2278
http://d-nb.info/gnd/101899610		0	0	0	0
http://d-nb.info/gnd/107809133		0	0	0	0
http://d-nb.info/gnd/1037705882		0	0	0	0
http://d-nb.info/gnd/118808435	http://de.wikipedia.org/wiki/Julius_Zeyer	79	2.63	3734	447
http://d-nb.info/gnd/126147558		0	0	0	0
http://d-nb.info/gnd/117024937	http://de.wikipedia.org/wiki/Paul_Lindenberg	101	3.37	2595	283
http://d-nb.info/gnd/126632200		0	0	0	0
http://d-nb.info/gnd/137314817		0	0	0	0
http://d-nb.info/gnd/125930364		0	0	0	0
http://d-nb.info/gnd/116241802	http://de.wikipedia.org/wiki/Georg_Bonne	44	1.47	1808	224
http://d-nb.info/gnd/117655635		0	0	0	0
http://d-nb.info/gnd/102358303		0	0	0	0
http://d-nb.info/gnd/116719885		0	0	0	0
http://d-nb.info/gnd/1048208524		0	0	0	0
http://d-nb.info/gnd/128254866		0	0	0	0
http://d-nb.info/gnd/118533886	http://de.wikipedia.org/wiki/Marieluise_Flei%C3%9Fer	1068	35.6	13357	1523
http://d-nb.info/gnd/107014416		0	0	0	0
http://d-nb.info/gnd/118603590	http://de.wikipedia.org/wiki/Ludwig_Rubiner	267	8.9	12183	1511
http://d-nb.info/gnd/127110828		0	0	0	0
http://d-nb.info/gnd/119156083	http://de.wikipedia.org/wiki/F%C3%A9lix_Bertaux	38	1.27	4029	453
http://d-nb.info/gnd/107021986		0	0	0	0
http://d-nb.info/gnd/117723770	http://de.wikipedia.org/wiki/Heinrich_Tr%C3%A4nker	147	4.9	15021	1969
