Werner, Max	http://d-nb.info/gnd/101820003, http://d-nb.info/gnd/117303399, http://d-nb.info/gnd/121586545, http://d-nb.info/gnd/134104803, http://d-nb.info/gnd/140580972, http://d-nb.info/gnd/144050765, http://d-nb.info/gnd/177551925, http://d-nb.info/gnd/18265186X
Wittfogel, Karl August	http://d-nb.info/gnd/118634305, http://d-nb.info/gnd/160522749
Pfaff, Karl	http://d-nb.info/gnd/106980696, http://d-nb.info/gnd/116140410, http://d-nb.info/gnd/116140437, http://d-nb.info/gnd/137245866, http://d-nb.info/gnd/139168036, http://d-nb.info/gnd/140232621
Piechowski, Paul	http://d-nb.info/gnd/116179511, http://d-nb.info/gnd/160458188
Wolf, Victoria	http://d-nb.info/gnd/11744328X, http://d-nb.info/gnd/183438698
Brauer, Peter	http://d-nb.info/gnd/102586012, http://d-nb.info/gnd/118660012, http://d-nb.info/gnd/140135022, http://d-nb.info/gnd/17418915X, http://d-nb.info/gnd/1038174090
Tichy, Anna	http://d-nb.info/gnd/126468230
Vavra, Jaroslav	
Strieber, Gerdy	http://d-nb.info/gnd/126870152, http://d-nb.info/gnd/1042684545
Schramm, C. A.	http://d-nb.info/gnd/100556795, http://d-nb.info/gnd/155166484
Warski, A.	http://d-nb.info/gnd/127276912
Veras, 	
Hermann, Georg	http://d-nb.info/gnd/115401229, http://d-nb.info/gnd/116738634, http://d-nb.info/gnd/116738650, http://d-nb.info/gnd/118703706, http://d-nb.info/gnd/119706695, http://d-nb.info/gnd/119706695, http://d-nb.info/gnd/12028619X, http://d-nb.info/gnd/122210964, http://d-nb.info/gnd/129174793, http://d-nb.info/gnd/138996202, http://d-nb.info/gnd/173444962, http://d-nb.info/gnd/1012578216, http://d-nb.info/gnd/1012760855, http://d-nb.info/gnd/1019728507
Axelrod, Paul	http://d-nb.info/gnd/119556189, http://d-nb.info/gnd/123339243
Eckstein, Walther	http://d-nb.info/gnd/101613938, http://d-nb.info/gnd/116350156
Mend, Hans	http://d-nb.info/gnd/129962449, http://d-nb.info/gnd/18213511X
