row,titleChunks,authorChunks,titleGND,title,completeWorks,ssFlag,authorFirstname,authorLastname,authorPseudonym,authorFullname,firstEditionPublisher,firstEditionPublicationYear,firstEditionPublicationPlace,secondEditionPublisher,secondEditionPublicationYear,secondEditionPublicationPlace,authorGND,authorGND2,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39,Unnamed: 40,Unnamed: 41,Unnamed: 42,Unnamed: 43,Unnamed: 44,Unnamed: 45,Unnamed: 46,Unnamed: 47,Unnamed: 48,Unnamed: 49,Unnamed: 50,Unnamed: 51,Unnamed: 52,Unnamed: 53,Unnamed: 54,Unnamed: 55,Unnamed: 56
11,Done,Done,http://d-nb.info/574888187,"Bilbilis, die versunkene Stadt",,true,Pierre,Lhande,,Pierre Lhande,Benziger & Co.,1930,Einsiedeln,Benziger & Co.,1930,Einsiedeln,http://d-nb.info/gnd/134213599,,http://d-nb.info/gnd/104529636,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,Done,Done,http://d-nb.info/572479921,Quartier an der Mosel,,false,Karl Friedrich,Borée,,Karl Friedrich Borée,Rütten & Loening,1936,Frankfurt,Rütten & Loening,1936,Frankfurt,http://d-nb.info/gnd/118661779,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,Done,1,,Sämtliche Schriften,1,true,Ernst,"Iros [wirkl. Name] s. Rosenstiel, Julius",,"Ernst Iros [wirkl. Name] s. Rosenstiel, Julius",,,,,,,http://d-nb.info/gnd/11720420X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,Done,Done,http://d-nb.info/992952921,Drei Tage,,true,Victoria,Wolf,,Victoria Wolf,Humanitas-Verlag,1937,Zürich,Humanitas-Verlag,1937,Zürich,http://d-nb.info/gnd/11744328X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,Done,Done,http://d-nb.info/992676215,Das Haus Cosinsky,,true,Peter,Mendelssohn,,Peter Mendelssohn,Oprecht & Helbling,1934,Zürich,Oprecht & Helbling,1934,Zürich,http://d-nb.info/gnd/118580752,,http://d-nb.info/gnd/137209509,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,Done,Done,http://d-nb.info/573602026,Arbeiterverrat der Emigranten,,false,Harald,Guenther,,Harald Guenther,Harder,um 1934,Berlin,Harder,um 1934,Berlin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,Done,Done,http://d-nb.info/573537232,Kampf dem Marxismus!?,,false,Peter,Grassmann,,Peter Grassmann,Allgem. dt. Gewerkschaftsbund,1933,Berlin,Allgem. dt. Gewerkschaftsbund,1933,Berlin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,Done,Done,http://d-nb.info/362290539 ,Die Passion in 60 Bildern,,false,Otto,Pankok,,Otto Pankok,Kiepenheuer,1936,Berlin,Kiepenheuer,1936,Berlin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,Done,Done,http://d-nb.info/574357025,Marschier oder krepier!,,false,Fritz,Klose,,Fritz Klose,Traditionsverlag Kolk,1930,Berlin,Traditionsverlag Kolk,1930,Berlin,http://d-nb.info/gnd/101224079,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,Done,Done,http://d-nb.info/573357749,Die Ruten-Redoute in Frau Birkheims Tanzschule,,false,Erich,Fitzner,,Erich Fitzner,,1929,Leipzig,,1929,Leipzig,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,Done,Done,http://d-nb.info/574900187,Afrika weint,,false,Ernst Friedrich,Loehndorff,,Ernst Friedrich Loehndorff,Grethlein,1930,Leipzig,Grethlein,1930,Leipzig,http://d-nb.info/gnd/11715119x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,Done,Done,http://d-nb.info/57561160X,"Fürst Widukind, der Sachsenführer",,false,Käthe,Papke,,Käthe Papke,Christopherus-Verlag,1936,Neumünster,Christopherus-Verlag,1936,Neumünster,http://d-nb.info/gnd/121344134,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,Done,Done,http://d-nb.info/579928748,Das Erlöserkind,,false,Marta,Geldmacher,,Marta Geldmacher,Lebensborn-Verlag,1930,Düsseldorf,Lebensborn-Verlag,1930,Düsseldorf,http://d-nb.info/gnd/127510702,,http://d-nb.info/gnd/107169975,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,Done,Done,http://d-nb.info/575688238,Proudhon und der Sozialismus,,false,Gottfried,Salomon,,Gottfried Salomon,Cassirer,1920,Berlin,Cassirer,1920,Berlin,http://d-nb.info/gnd/118596780,,http://d-nb.info/gnd/116767359,http://d-nb.info/gnd/126848165,http://d-nb.info/gnd/105382779,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,Done,Done,http://d-nb.info/579709922,Knabe oder Mädchen nach Wunsch u. Wahl der Eltern,,false,Friedrich,"Robert (pesudo.) [wirkl. Name] Ehlers, Christian Friedrich Robert",,"Friedrich Robert (pesudo.) [wirkl. Name] Ehlers, Christian Friedrich Robert",Linsen-Verlag,1919,Berlin,Linsen-Verlag,1919,Berlin,http://d-nb.info/gnd/132873192,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,Done,Done,http://d-nb.info/575409665,Das werdende Recht,,false,Kamillo,Policky,,Kamillo Policky,Schölers Verlag,1938,Wien,Schölers Verlag,1938,Wien,http://d-nb.info/gnd/126654867,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,Done,Done,http://d-nb.info/572090617 ,"Azana, Manuel. — Azana spricht",,true,Azaña y Diaz,Manuel,,Azaña y Diaz Manuel,Ed. du Carrefour,1937,Paris,Ed. du Carrefour,1937,Paris,http://d-nb.info/gnd/118505319,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,Done,Done,http://d-nb.info/012822620,Neue Bahnen,,false,Luise,Otto,,Luise Otto,Günther,1864,Leipzig,Günther,1864,Leipzig,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,Done,Done,,,,false,,"Herzog, Emile [wirkl. Name] s. Maurois, André",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,Done,Done,http://d-nb.info/574602461,Liebe und Leidenschaft. Flagell.-erot. Roman.,,false,,,,,,1930,o. O.,,1930,o. O.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,Done,Done,http://d-nb.info/580832686,Harnröhrenleiden,,false,Erich,Dammann,,Erich Dammann,Klio-Verlag,1913,Dresden,Klio-Verlag,1913,Dresden,http://d-nb.info/gnd/12769837X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,Done,Done,http://d-nb.info/361959451,Die Untersten,,false,Victor,Noack,,Victor Noack,Der Syndikalist,1927,Berlin,Der Syndikalist,1927,Berlin,http://d-nb.info/gnd/101623720,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,Done,Done,http://d-nb.info/573991642 ,Die kommunistische Gesellschaft,,false,Otto,Hammann,,Otto Hammann,Schriftenvertriebsanstalt,1897,Berlin,Schriftenvertriebsanstalt,1897,Berlin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,Done,1,,Sämtliche Schriften von und über ~,3,false,Josif Vissarionovič,Stalin,,Josif Vissarionovič Stalin,,,,,,,http://d-nb.info/gnd/118642499,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,Done,Done,http://d-nb.info/574925821,Ein Kampf um Röhm,,false,Walter,Luetgebrune,,Walter Luetgebrune,Huber,1933,Diessen,Huber,1933,Diessen,http://d-nb.info/gnd/128653833,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,Done,Done,http://d-nb.info/580318524,Stürme um Kap Marga,,false,Walter,Kabel,,Walter Kabel,Verlag mod. Lektüre,1934,Berlin,Verlag mod. Lektüre,1934,Berlin,http://d-nb.info/gnd/118714392,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,Done,Done,http://d-nb.info/576858846,"Sieben Tage, die Japan erschütterten",,false,Viktor,Waksow,,Viktor Waksow,Führer-Verlag,1926,Berlin,Führer-Verlag,1926,Berlin,http://d-nb.info/gnd/126897573,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,1,Done,,Forum-Bücher,,true,,,,,Forum (Querido-Verlag),,Amsterdam,Forum (Querido-Verlag),,Amsterdam,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,Done,Done,http://d-nb.info/578848376,Pfingstnacht,,false,,Benjamin,,,Wegwalt-Werkstatt,1914,Wilhelmshagen,Wegwalt-Werkstatt,1914,Wilhelmshagen,http://d-nb.info/gnd/127399631,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,Done,1,,Sämtliche Schriften,1,false,Salomo,Friedlaender,,Salomo Friedlaender,,,,,,,http://d-nb.info/gnd/118586076 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,Done,Done,http://d-nb.info/57628601X,Bagno,,false,Albert,Londres,,Albert Londres,Laub,1924,Berlin,Laub,1924,Berlin,http://d-nb.info/gnd/118915770,,http://d-nb.info/gnd/118590723,http://d-nb.info/gnd/100812767,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,1,Done,http://www.worldcat.org/oclc/1003526,Brigade of spies,,true,William James,Makin,,William James Makin,Dutton,1938,New York,Dutton,1938,New York,http://d-nb.info/gnd/157761584,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
