row,titleChunks,authorChunks,titleGND,title,completeWorks,ssFlag,authorFirstname,authorLastname,authorPseudonym,authorFullname,firstEditionPublisher,firstEditionPublicationYear,firstEditionPublicationPlace,secondEditionPublisher,secondEditionPublicationYear,secondEditionPublicationPlace,authorGND,authorGND2,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39,Unnamed: 40,Unnamed: 41,Unnamed: 42,Unnamed: 43,Unnamed: 44,Unnamed: 45,Unnamed: 46,Unnamed: 47,Unnamed: 48,Unnamed: 49,Unnamed: 50,Unnamed: 51,Unnamed: 52,Unnamed: 53,Unnamed: 54,Unnamed: 55,Unnamed: 56
891,Done,Done,http://d-nb.info/572801912,Das Volk der Hirten,,true,Jakob,Buehrer,,Jakob Buehrer,Oprecht & Helbling,1934,Zürich,Oprecht & Helbling,1934,Zürich,http://d-nb.info/gnd/11851699x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
892,Done,Done,http://d-nb.info/992950635 ,Der Angefochtene. Ein Buch über Heinrich Pestalozzi,,true,Karl,Wuerzburger,,Karl Wuerzburger,Zwingli-Verlag,1940,Zürich,Zwingli-Verlag,1940,Zürich,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
893,Done,Done,http://d-nb.info/560636539 ,Im Palaste der Mikroben,,false,Aage von,Kohl,,Aage von Kohl,Haupt & Hammon,1918,Leipzig,Haupt & Hammon,1918,Leipzig,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
894,Done,Done,http://d-nb.info/363111166,Vom Jungfernstieg zur Ullrichstrasse,,false,Lothar,Wolffen,,Lothar Wolffen,Crusius,1920,Leipzig,Crusius,1920,Leipzig,http://d-nb.info/gnd/128001925,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
895,Done,Done,http://d-nb.info/997474270 ,Technik der geistigen Arbeit. Handbuch in 15 Lieferungen,,false,,,,,Hans Bort,1934,Berlin,Hans Bort,1934,Berlin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
896,Done,Done,http://d-nb.info/572437765 ,"Völkisches Denken, Volkswirtschaft",,false,August,Bock,,August Bock,Selbstverlag,1935,Berlin,Selbstverlag,1935,Berlin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
897,Done,2,,Sämtliche Schriften,1,false,Alfred,Polgar,,Alfred Polgar,,,,,,,http://d-nb.info/gnd/117279234 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
898,Done,Done,http://d-nb.info/571712940,Die Gasse der tausend Schmerzen,,false,Graf,Amori,,Graf Amori,Weltbücher-Verlag,1927,Berlin,Weltbücher-Verlag,1927,Berlin,http://d-nb.info/gnd/125902336,,http://d-nb.info/gnd/125799683,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
899,Done,2,,Sämtliche Schriften,1,false,Felix,Weltsch,,Felix Weltsch,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
900,Done,2,,Sämtliche Schriften,1,false,Otto Felix,Kanitz,,Otto Felix Kanitz,,,,,,,http://d-nb.info/gnd/11855977X ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
901,Done,Done,http://d-nb.info/573305471,Das Experiment des Bolschewismus,,false,Arthur,Feiler,,Arthur Feiler,Societäts-Druckerei,1930,Frankfurt a. M.,Societäts-Druckerei,1930,Frankfurt a. M.,http://d-nb.info/gnd/123505003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
902,Done,Done,http://d-nb.info/580719669,Der ewige Mund,,true,Arthur Emanuel,Meyer,,Arthur Emanuel Meyer,Zwingli-Verlag = Zwingli-Bücherei. 9.,1940,Zürich,Zwingli-Verlag = Zwingli-Bücherei. 9.,1940,Zürich,http://d-nb.info/gnd/126619719,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
903,Done,Done,http://d-nb.info/572480385 ,Der Marsch des Faschismus,,false,Giuseppe Antonio,Borgese,,Giuseppe Antonio Borgese,A. de Lange,1938,Amsterdam,A. de Lange,1938,Amsterdam,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
904,Done,Done,http://d-nb.info/362681015,Die pazifistischen Grundlagen der mittelalterlichen Verfassung des Fürstentums Münster,,false,Lothar Engelbert,Schuecking,,Lothar Engelbert Schuecking,Oldenburg,1924,Leipzig,Oldenburg,1924,Leipzig,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
905,Done,Done,http://d-nb.info/561040516 ,Deutsche Literaturgeschichte,,false,Otto,Wittner,,Otto Wittner,Kaden,1920,Dresden,Kaden,1920,Dresden,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
906,Done,Done,http://d-nb.info/572316895,Mord und Totschlag,,false,Curt,Elwenspoek,,Curt Elwenspoek,Dieck,1931,Stuttgart,Dieck,1931,Stuttgart,http://d-nb.info/gnd/116463619,,http://d-nb.info/gnd/129435260,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
907,Done,Done,http://d-nb.info/573388458,Auch das nennt man Leben,,false,Gustav Adolf,Gedat,,Gustav Adolf Gedat,Steinkopf,1935,Stuttgart,Steinkopf,1935,Stuttgart,http://d-nb.info/gnd/124327699,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
908,2,Done,,Glück in der Liebe,,false,Robert,Hessen,,Robert Hessen,Langen,1908,München,Langen,1908,München,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
909,Done,Done,http://d-nb.info/575812834,Die kommunistischen Deputierten vor dem Gericht der Schuldigen an Frankreichs Zusammenbruch,,true,Gaston,Richard,,Gaston Richard,Verlag f. fremdsprachige Literatur,1940,Moskau,Verlag f. fremdsprachige Literatur,1940,Moskau,http://d-nb.info/gnd/101305052,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
910,Done,Done,http://d-nb.info/576579521,Die deutsche Revolution,,false,Heinrich,Stroebel,,Heinrich Stroebel,Der Firn,1920,Berlin,Der Firn,1920,Berlin,http://d-nb.info/gnd/117343102,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
911,Done,Done,http://d-nb.info/992119936 ,Anklage gegen die Ankläger. Die Widerlegung der geheimen Anklageschrift des Reichstagsbrand-Prozesses. (Nachtrag zum Braunbuch I.),,true,,,,,Ed. du Carrefour,1933,Paris,Ed. du Carrefour,1933,Paris,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
912,Done,Done,http://d-nb.info/575090421,Ofnet,,false,,"Merkenschlager, Friedrich, u. Karl Saller",,,K. Wolff,1934,Berlin,K. Wolff,1934,Berlin,http://d-nb.info/gnd/116903554,http://d-nb.info/gnd/118750941,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
913,Done,2,,Sämtliche Schriften,1,false,Ernst,Bloch,,Ernst Bloch,,,,,,,http://d-nb.info/gnd/118511742,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
914,Done,2,,Sämtliche Schriften,1,true,Walter,Braeuer,,Walter Braeuer,,,,,,,http://d-nb.info/gnd/143580191,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
915,Done,Done,,,,false,,"Jehle, M. Lejeune s. Lejeune-Jehle.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
916,Done,Done,http://d-nb.info/573695318,Russland 1932,,false,Julius,Haydu,,Julius Haydu,Phaidon-Verlag,1932,Wien,Phaidon-Verlag,1932,Wien,http://d-nb.info/gnd/126376913,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
917,Done,Done,http://d-nb.info/573573468,Eine Kartothek zu § 218,,false,Alfred,Grotjahn,,Alfred Grotjahn,Metzner,1932,Berlin,Metzner,1932,Berlin,http://d-nb.info/gnd/118542710,,http://d-nb.info/gnd/118828061,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
918,Done,Done,http://d-nb.info/574810404,Was man vor der Ehe von der Ehe wissen muss,,false,August,Kuehner,,August Kuehner,Langkammer,1923,Dresden,Langkammer,1923,Dresden,http://d-nb.info/gnd/102740127,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
919,Done,Done,http://d-nb.info/573078289 ,"Familien, Bei den ~ der Februar-Kämpfer in Wien",,true,,,,,Ed. du SRI.,1934,Paris,Ed. du SRI.,1934,Paris,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
920,Done,Done,http://d-nb.info/573096678,Ölimperialismus,,false,Louis,Fischer,,Louis Fischer,Neuer dt. Verlag,1927,Berlin,Neuer dt. Verlag,1927,Berlin,http://d-nb.info/gnd/101631391,,http://d-nb.info/gnd/126357145,http://d-nb.info/gnd/118696173,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
921,Done,Done,http://d-nb.info/576148962,Um Zion und Zionismus,,false,Rudolf,Seiden,,Rudolf Seiden,Lafaire,1925,Hannover,Lafaire,1925,Hannover,http://d-nb.info/gnd/102032718,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
922,Done,Done,http://d-nb.info/572710011,Indische Venus,,false,Kapitän,Deverreux,,Kapitän Deverreux,Rosen-Verlag,1928,Dresden,Rosen-Verlag,1928,Dresden,http://d-nb.info/gnd/126193843,,http://d-nb.info/gnd/126205973,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
923,Done,Done,http://d-nb.info/575534710,Volk im heiligen Geiste,,false,Matthias,Laros,,Matthias Laros,Pustet,1937,Regensburg,Pustet,1937,Regensburg,http://d-nb.info/gnd/119418266,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
924,Done,Done,http://d-nb.info/57275910X,Reigen der Keuschheit,,false,Hans Wolfgang,Behm,,Hans Wolfgang Behm,Laurer,1928,Egestorf,Laurer,1928,Egestorf,http://d-nb.info/gnd/128968648,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
925,Done,Done,http://d-nb.info/576374040,Umstrittenes Land im Osten,,false,Otto,Sassnick,,Otto Sassnick,Kittler,1933,Leipzig,Kittler,1933,Leipzig,http://d-nb.info/gnd/126909679,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
926,Done,2,,Sämtliche Schriften,1,false,Jörg,Willenbacher,,Jörg Willenbacher,,,,,,,http://d-nb.info/gnd/117158720 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
927,Done,2,,Sämtliche Schriften von und über ~,3,false,Rosa,Luxemburg,,Rosa Luxemburg,,,,,,,http://d-nb.info/gnd/118575503,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
928,Done,2,,Sämtliche Schriften,1,true,Ulrich,Becher,,Ulrich Becher,,,,,,,http://d-nb.info/gnd/118507958,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
929,Done,Done,http://d-nb.info/575989203,Herrenmenschen,,false,Martin,Schelling,,Martin Schelling,Phoebus-Verlag,1931,Berlin,Phoebus-Verlag,1931,Berlin,http://d-nb.info/gnd/108482375,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
930,Done,2,,Sämtliche Schriften von und über ~,3,false,Karl,Marx,,Karl Marx,,,,,,,http://d-nb.info/gnd/118578537,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
931,Done,Done,,,,false,,"Suenken, Paula [Mädchenname] s. Jacobsen, Paula",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
932,Done,Done,http://d-nb.info/361189729,Das Geschlechtsleben der Wilden,,false,Bronislav,Malinowski,,Bronislav Malinowski,Grethlein,1930,Leipzig,Grethlein,1930,Leipzig,http://d-nb.info/gnd/118576755,,http://d-nb.info/gnd/118681990,http://d-nb.info/gnd/10217833X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
933,Done,Done,http://d-nb.info/362295468,"Grischa und Mischa, die beiden Pioniere",,true,H.,Paul,,H. Paul,Verlagsgen. ausländ. Arbeiter,1936,Moskau,Verlagsgen. ausländ. Arbeiter,1936,Moskau,http://d-nb.info/gnd/127928146,,http://d-nb.info/gnd/127929444,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
934,Done,Done,http://d-nb.info/580907317,Das ist der Mensch,,false,Karl Georg,Hemmerich,,Karl Georg Hemmerich,Krohn,1936,Badenweiler,Krohn,1936,Badenweiler,http://d-nb.info/gnd/121250547,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
935,Done,2,,Sämtliche Schriften,1,true,Peter,Petry,,Peter Petry,,,,,,,http://d-nb.info/gnd/117088447,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
936,Done,Done,http://d-nb.info/560963734 ,Schwere Schritte,,false,Alexander,Tarassow-Rodionow,,Alexander Tarassow-Rodionow,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
937,Done,Done,http://d-nb.info/576347647,Rost an Mann und Schiff,,false,Willy Richard,Sachse,,Willy Richard Sachse,Traditions-Verlag,1934,Berlin,Traditions-Verlag,1934,Berlin,http://d-nb.info/gnd/129814563,,http://d-nb.info/gnd/101221401,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
938,Done,Done,http://d-nb.info/579403106,Die Unschuld am Weibe,,false,Alex Viktor v.,Frankenberg u. Ludwigsdorf,,Alex Viktor v. Frankenberg u. Ludwigsdorf,Hohmann,1918,Darmstadt,Hohmann,1918,Darmstadt,http://d-nb.info/gnd/116395257,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
939,Done,2,,Sämtliche Schriften,1,true,Franz,Warschauer,,Franz Warschauer,,,,,,,http://d-nb.info/gnd/122156544 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
940,Done,Done,http://d-nb.info/579733599,Das Gesicht des Krieges,,false,Franz Carl,Endres,,Franz Carl Endres,Oldenburg,1924,Leipzig,Oldenburg,1924,Leipzig,http://d-nb.info/gnd/104234288,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
941,Done,Done,http://d-nb.info/572256310,Zur Geschichte der bolschewistischen Organisationen in Transkaukasien,,true,L.,Beria [Berija],,L. Beria [Berija],Verlag für fremdsprachige Literatur,1940,Moskau,Verlag für fremdsprachige Literatur,1940,Moskau,http://d-nb.info/gnd/118509586,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
942,Done,Done,http://d-nb.info/572943768,Die Rebellen,,false,P. E.,Dybenko,,P. E. Dybenko,Hoym,1923,Hamburg,Hoym,1923,Hamburg,http://d-nb.info/gnd/121954005,,http://d-nb.info/gnd/102178763,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
943,Done,Done,http://d-nb.info/574837728,Die sozialistische Industrie,,true,H.,Lauer,,H. Lauer,Verlagsgen. ausländ. Arbeiter,1936,Moskau,Verlagsgen. ausländ. Arbeiter,1936,Moskau,http://d-nb.info/gnd/126586764,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
944,Done,Done,http://d-nb.info/572894309 ,"Dollfuss, Engelbert. — So sprach der Kanzler. Dollfuss' Vermächtnis",,false,,,,,Baumgartner,1935,Wien,Baumgartner,1935,Wien,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
945,Done,Done,http://d-nb.info/578466821,Der Christ in der Endzeit,,true,August,Zechmeister,,August Zechmeister,Neue Brücke,1937,Schlieren-Zürich,Neue Brücke,1937,Schlieren-Zürich,http://d-nb.info/gnd/124979122,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
946,Done,Done,http://d-nb.info/365593702,"Abirrungen, Die geschlechtlichen ~ des Menschen",,false,,,,,Eos-Verlag,1928,Wien,Eos-Verlag,1928,Wien,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
947,Done,Done,http://d-nb.info/366900552 ,Kleine Erblehre,,false,Hermann,Muckermann,,Hermann Muckermann,Dümmler = Muckermann: Die Familie. H. 8.,1938,"Berlin, Bonn",Dümmler = Muckermann: Die Familie. H. 8.,1938,"Berlin, Bonn",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
948,Done,Done,http://d-nb.info/981732720 ,I was in prison. Letters from German pastors.,,true,Dorothy Frances,Buxton,,Dorothy Frances Buxton,Student Christian Movement Pr.,1938,London,Student Christian Movement Pr.,1938,London,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
949,Done,Done,http://d-nb.info/572344570,Die Dirne und der Halbgott,,false,Alexander,Areuss,,Alexander Areuss,Enk-Verlag,1922,Berlin,Enk-Verlag,1922,Berlin,http://d-nb.info/gnd/126233683,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
950,Done,2,,Sämtliche Schriften,1,false,Julius,Schaxel,,Julius Schaxel,,,,,,,http://d-nb.info/gnd/118822977 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
951,Done,Done,http://d-nb.info/992886279,Hitler as Frankenstein,,true,Johannes,Steel,,Johannes Steel,Wishart,1933,London,Wishart,1933,London,http://d-nb.info/gnd/101899661,,http://d-nb.info/gnd/119192616,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
952,Done,Done,http://d-nb.info/574081798,Lebenslauf einer Bolschewikin,,true,B. N.,Jakowlewa,,B. N. Jakowlewa,Verlagsgen. ausländ. Arbeiter,1934,Moskau,Verlagsgen. ausländ. Arbeiter,1934,Moskau,http://d-nb.info/gnd/126682232,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
953,Done,Done,http://d-nb.info/57488677X,Lexikon des geheimen Wissens,,false,,,,,Hutter,1934,Wien,Hutter,1934,Wien,,http://d-nb.info/gnd/126668310,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
954,Done,2,,Sämtliche Schriften,1,true,Charlotte,Hoffmann,,Charlotte Hoffmann,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
955,Done,Done,http://d-nb.info/575620943,Die Kolchis,,true,Konstantin,Paustowski,,Konstantin Paustowski,Verlagsgen. ausländ. Arbeiter,1936,Moskau,Verlagsgen. ausländ. Arbeiter,1936,Moskau,http://d-nb.info/gnd/118592262,,http://d-nb.info/gnd/125781954,http://d-nb.info/gnd/118909703,"Schitomirski, ...",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
956,Done,Done,http://d-nb.info/574951180,Um das Zwei- und Dreifache,,true,Boris,Machlin,,Boris Machlin,Verlagsgen. ausländ. Arbeiter,1932,Moskau,Verlagsgen. ausländ. Arbeiter,1932,Moskau,http://d-nb.info/gnd/126564612,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
957,Done,2,,Sämtliche Schriften,1,false,Luise,Zietz,,Luise Zietz,,,,,,,http://d-nb.info/gnd/117597538 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
958,Done,Done,http://d-nb.info/575222212 ,Ljuberzy. Ein Pünktchen im Fünfjahrplan,,true,Th.,Neubauer,,Th. Neubauer,Verlagsgen. ausländ. Arbeiter,1932,Moskau,Verlagsgen. ausländ. Arbeiter,1932,Moskau,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
959,Done,Done,http://d-nb.info/572052111,Von Kanton bis Schanghai 1926—1927,,false,,Asiaticus,,,Agis-Verlag,1928,Wien,Agis-Verlag,1928,Wien,http://d-nb.info/gnd/125976224,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
960,Done,Done,http://d-nb.info/579173291 ,"Margarete Sinclair, Zierde der werktätigen Jugend und der Menschheit",,false,Maria,Berchtenbreiter,,Maria Berchtenbreiter,Missionsverlag,1940,Betzdorf,Missionsverlag,1940,Betzdorf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
961,Done,Done,http://d-nb.info/362185417,"Rom mordet, mordet Seelen, Menschen, Völker",,false,Alfons Waldemar,Rose,,Alfons Waldemar Rose,Ludendorff-Verlag,1935,München,Ludendorff-Verlag,1935,München,http://d-nb.info/gnd/126855277,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
962,2,Done,,Berliner Revolutionschronik,,false,Adolf,Wolff,,Adolf Wolff,Hempel,1851/58,Berlin,Hempel,1851/58,Berlin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
963,Done,Done,http://d-nb.info/361735499,Zwölf Streiter der Revolution,,false,,"Struve, Gustav, und Gustav Rasch",,,Wegener,1867,Berlin,Wegener,1867,Berlin,http://d-nb.info/gnd/118799207,http://d-nb.info/gnd/116335351,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
964,Done,Done,http://d-nb.info/574627871,Mit der roten Armee im fernen Osten,,true,Nathan,Lipman,,Nathan Lipman,Verlagsgen. ausländ. Arbeiter,1932,Moskau,Verlagsgen. ausländ. Arbeiter,1932,Moskau,http://d-nb.info/gnd/126479801,,http://d-nb.info/gnd/125781954,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
965,Done,2,,Sämtliche Schriften,1,false,Osip,Pjatnitzki,,Osip Pjatnitzki,,,,,,,http://d-nb.info/gnd/118850849 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
966,Done,2,,Sämtliche Schriften,1,true,Ernst,Schuhmacher,,Ernst Schuhmacher,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
967,Done,Done,http://d-nb.info/575415991,Verschwörung gegen die Sowjetunion und den Weltfrieden,,true,B.,Ponomarew,,B. Ponomarew,Verlagsgen. ausländ. Arbeiter,1938,Moskau,Verlagsgen. ausländ. Arbeiter,1938,Moskau,http://d-nb.info/gnd/123663636,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
968,Done,Done,http://d-nb.info/573998086 ,Lehrbuch der Antlitz-Diagnostik,,false,Kurt,Hickethier,,Kurt Hickethier,Biochemie-Verlag,1926,Halle,Biochemie-Verlag,1926,Halle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
969,Done,Done,http://d-nb.info/575415975 ,"Die Trotzki-Sinowjew-Bande, eine direkte Agentur des Faschismus",,true,B.,Ponomarew,,B. Ponomarew,Verlagsgen. ausländ. Arbeiter,1936,Moskau,Verlagsgen. ausländ. Arbeiter,1936,Moskau,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
970,Done,Done,http://d-nb.info/578583348,Zur Heilpädagogik,,true,Rudolf,Steiner,,Rudolf Steiner,Philosoph.-Anthropol. Verlag,1938,Dornach,Philosoph.-Anthropol. Verlag,1938,Dornach,http://d-nb.info/gnd/118617443,,http://d-nb.info/gnd/126597790,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
971,Done,Done,http://d-nb.info/572916930,Recht u. Politik im Fall Fechenbach,,false,,"Dreyfus, Paul, u. Paul Mayer",,,Rowohlt,1925,Berlin,Rowohlt,1925,Berlin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
972,Done,Done,http://d-nb.info/576490121,Staat und Parteien,,true,,,,,Niehans,1935,Zürich,Niehans,1935,Zürich,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
973,Done,Done,http://d-nb.info/575900121,"Civitavecchia, ein Friedhof der Lebenden",,true,Carlo,Rossi,,Carlo Rossi,Mopr-Verlag,1935,"Zürich, Paris",Mopr-Verlag,1935,"Zürich, Paris",http://d-nb.info/gnd/125649266,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
974,Done,Done,http://d-nb.info/574027815,Die Frau im Dritten Reich,,false,Wilhelm,Hoegner,,Wilhelm Hoegner,Dietz,1931,Berlin,Dietz,1931,Berlin,http://d-nb.info/gnd/118551922,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
975,Done,Done,http://d-nb.info/576841897,Die Diktatur des Proletariats,,false,Are,Waerland,,Are Waerland,Perthes,1921,Gotha,Perthes,1921,Gotha,http://d-nb.info/gnd/10156144x,,http://d-nb.info/gnd/100842534,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
976,Done,Done,http://d-nb.info/575338695,Das nationalbolschewistische Manifest,,false,Karl Otto,Paetel,,Karl Otto Paetel,Die sozialistische Nation,1933,Berlin,Die sozialistische Nation,1933,Berlin,http://d-nb.info/gnd/118591150,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
977,2,Done,,Obrázky z Horni a Dolní Lužice [Bilder aus der Ober- und Niederlausitz],,false,Vladimír,Mičan,,Vladimír Mičan,Biblická Jednota,1926,Brünn,Biblická Jednota,1926,Brünn,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
978,Done,2,,Sämtliche Schriften,1,false,Heinrich,Coudenhove-Kalergi,,Heinrich Coudenhove-Kalergi,,,,,,,http://d-nb.info/gnd/113058039 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
979,Done,Done,http://d-nb.info/361979541,Das Tagebuch des Schülers Kostja Rjabzew,,false,Nikolaj,Ognjew,,Nikolaj Ognjew,Verlag d. Jugendinternationale,1929,Berlin,Verlag d. Jugendinternationale,1929,Berlin,http://d-nb.info/gnd/127903933,,http://d-nb.info/gnd/128740078,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
980,Done,Done,http://d-nb.info/575176474 ,Warum mussten wir nach Versailles?,,false,Oskar,Mueller,,Oskar Mueller,Hobbing,1919,Berlin,Hobbing,1919,Berlin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
