row	authorFirstname	authorLastname	 X	GND	preferredName	yearOfBirth	yearOfDeath	placeOfBirth	placeOfDeath	professionOrOccupation	foaf_page	
143	Otto	Heller	 	http://d-nb.info/gnd/139746285	Heller, Otto	1896	1970	 	 	Kameramann	http://de.wikipedia.org/wiki/Otto_Heller_%28Kameramann%29	DifferentiatedPerson
143	Otto	Heller	 	http://d-nb.info/gnd/11668688X	Heller, Otto	 	 	 	 	Germanist	http://de.wikipedia.org/wiki/Otto_Heller_%28Literaturwissenschaftler%29	DifferentiatedPerson
143	Otto	Heller	 	http://d-nb.info/gnd/123925487	Heller, Markus	20.07.1969	 	Zweibrücken	 	Arzt | Humanbiologe	 	DifferentiatedPerson
143	Otto	Heller	 	http://d-nb.info/gnd/125498594	Heller, Otto Alexander	 	 	 	 	 	 	DifferentiatedPerson
143	Otto	Heller	 	http://d-nb.info/gnd/1013850556	Heller, Otto	1897	1945	Brünn	Ebensee	Autor | Sozialwissenschaftler	http://de.wikipedia.org/wiki/Otto_Heller_%28KP%C3%96%29	DifferentiatedPerson
149	Leopold von	Sacher-Masoch	 									
152	Hubertus Prinz zu	Loewenstein-Wertheim-Freudenberg	 									
160	Vicki	Baum	 	http://d-nb.info/gnd/118653830	Baum, Vicki	1888	1960	Wien	Los Angeles- Hollywood	Schriftstellerin | Musikerin	http://de.wikipedia.org/wiki/Vicki_Baum	DifferentiatedPerson
167	Sergej Michajlovič	Tretjakow	 	http://d-nb.info/gnd/118623850	Tretʹjakov, Sergej M.	1892	1939	 	 	Schriftsteller	http://de.wikipedia.org/wiki/Sergei_Michailowitsch_Tretjakow	DifferentiatedPerson
170	Wilhelm	Tabor	 	http://d-nb.info/gnd/120409828	Tabor, Gustav Wilhelm	 	 	 	 	 	 	DifferentiatedPerson
177	Ludwig Harter	Jacobson (Pseud.: Niels Hoyer und Ernst Harthern)	 									
186	Martin	Fuchs	 	http://d-nb.info/gnd/116844442	Fuchs, Martin	 	 	 	 	Rechtsanwalt	 	DifferentiatedPerson
186	Martin	Fuchs	 	http://d-nb.info/gnd/1018218793	Fuchs, Martin	 	 	 	 	Informatiker	 	DifferentiatedPerson
186	Martin	Fuchs	 	http://d-nb.info/gnd/174351917	Fuchs, Martin	 	 	 	 	 	 	DifferentiatedPerson
186	Martin	Fuchs	 	http://d-nb.info/gnd/12737826X	Fuchs, Martin A.	 	 	 	 	 	 	DifferentiatedPerson
186	Martin	Fuchs	 	http://d-nb.info/gnd/130245372	Fuchs, Martin	1903	1969	Wien	Wien	Diplomat | Generalkonsul	 	DifferentiatedPerson
186	Martin	Fuchs	 	http://d-nb.info/gnd/133029328	Fuchs, Martin	 	 	 	 	Betriebswirt | Autor | Berater	 	DifferentiatedPerson
