forename	surname	authorFirstname	authorLastname
Rudolf	Doerfler		
Waldemar Oskar	Doering		
Felix	Doermann		
Erich Johann	Doerr		
Maria 	Eichhorn-Dolorosa		Dolorosa (Pseud.)
Romuald	Domaschke		
Harry	Domela		
Ferdinand	Domela Nieuwenhuis		
Wilhelm	Doms		
Antonius	Donatus		
A. den	Doolaard		
Karl	Dopf		
Jakob	Dorfmann		
Roland	Dorgelès		
Emma P.	Dornberger		
Pawel	Dorochow		
John Roderigo	Dos Passos		
Hellmut	Draws-Tychsen		
Hermann	Drechsler		
Theodore	Dreiser		
Joh. Carl	Dreissig		
Arthur	Drews		
Albert	Drexel		
Albert	Dreyfus		
Dreyfus	Paul		Dreyfus, Paul, u. Paul Mayer
Paul 	Mayer		Dreyfus, Paul, u. Paul Mayer
Winfried	Droehner		
W.	Druschinin		
Daphne	Du Maurier		
Ernst von	Duering		
Wilhelm	Duewell		Duewell Wilhelm
Charles	Duff		
Georges	Duhamel		
Hermann	Duncker		
Hermann	Duncker		Duncker, Hermann, Alfons Goldschmidt, Karl August Wittfogel
Alfons	Alfons Goldschmidt		Duncker, Hermann, Alfons Goldschmidt, Karl August Wittfogel
Karl August	Wittfogel		Duncker, Hermann, Alfons Goldschmidt, Karl August Wittfogel
Mary	Dunstan		
Fritz	Dupré		
Louis	Dupré d'Aulnay		
Anne-Marie	Durand-Wever		Durand-Wever, Anne-Marie
Willi	Duwe		
Paul	Duysen		
P. E.	Dybenko		
J.	Dyck		Dyck, J. u. Schäfer, M.
M.	Schäfer		Dyck, J. u. Schäfer, M.
E. N.	Dzelepy		
William	Ebenstein		
Walter	Eberding		
Erich	Ebermayer		
Erich	Ebermayer		Ebermayer, Erich, Klaus Mann u. H. Rosenkranz
Klaus	Mann		Ebermayer, Erich, Klaus Mann u. H. Rosenkranz
H.	Rosenkranz		Ebermayer, Erich, Klaus Mann u. H. Rosenkranz
Erika	Ebert		
Friedrich	Ebert		
Elsbeth	Ebertin		
Erich	Ebstein		
José Maria	Eça de Queiroz		
Robert 	Hessen		Eccardus
Romulo	Echtermayer		
Rubner	Ecker		
Joseph	Eckerskorn		
Gustav	Eckstein		
Walther	Eckstein		
Edmund	Edel		
Oskar	Edel		
Julius	Eder		
John	Edgar		
Irwin	Edman		
Kasimir	Edschmid		
Hugo	Efferoth		
A.	Efross		Efross, A., und J. Tugendhold
J.	Tugendhold		Efross, A., und J. Tugendhold
Mark	Egart		
Peter	Egetemeyr		
Wilhelm	Eggert		
Gustav	Egli		
Otto	Ehinger		
Christian Fr. R	Ehlers		
Hans	Ehrenberg		
Elfriede	Ehrenreich		
Albert	Ehrenstein		
Karl	Ehrenstein		
Justus	Ehrhardt		
Albert	Ehrismann		
Leopold	Ehrlich -Hichler		
E.	Ehrlich		Ehrlich, E., S. Abram u. Ph. Silpert
S.	Abram u. Ph. Silpert		Ehrlich, E., S. Abram u. Ph. Silpert
Ph.	Silpert		Ehrlich, E., S. Abram u. Ph. Silpert
Leopold	Ehrlich-Hichler		
Reinhold	Eichacker		
Claus	Eichen		
Marietta	Eidlitz		
Helene	Eiert		
Christian	Eifinger		
Hans	Mueller-Einigen		Einigen, Hans Mueller- s. Mueller-Einigen.
Albert	Einstein		
Alfred	Einstein		
Karl	Einstein		
Paul	Einzig		
J.	Eisenberger		
Götz	Eisenhart		
Julius	Eisenstaedter		
Heinz	Eisgruber		
Kurt	Eisner		
Vítězslav	Nezval		Eisner, Otto [Hrsg.] s. Nezval, Vítězslav
Anne von den	Eken		
Johanna	Elberskirchen		
Ismar	Elbogen		
	El-Correi		
Albert	Elgers		
Alexander	Eliasberg		
Wladimir	Eliasberg		
Wilhelm	Ellenbogen		
Ellegaard	Ellerbek		
Gustav	Leisner		Ellerbek,  Ellegaard [d. i. Gustav Leisner]
Walter	Kurz		Ellerbek, Ellegaard, u. Walter Kurz
Eve	Ellin		
Havelock	Ellis		
Franz	Elmauer		
Curt	Elwenspoek		
René	Emery		
Karl August	Emge		
	Emko		
Louis	Emrich		
Kurt van	Emsen		
Franz Carl	Endres		
Fritz	Endres		
Robert	Endres		
Georg	Engel		
Johannes	Engel		
Ludwig	Engel		
Friedrich	Engels		
Heinrich	Engels		
Hans	Engler		
Paul	Englisch		
Willy	Enick		
Charles	Hug		Episthenes [d. i. Charles Hug]
Charles	Hug		Episthenes [Pseud.] s. Hug, Charles [wirkl. Name].
Eugen	Eppstein		
Julius	Epstein		
	Erasmus redivivus		
S.	Erckner		
Palmiro	Togliatti		Ercoli
Oskar	Erdberg		
August	Erdmann		
Ilja	Erenburg		
Emile	Erhard		
Ludwig	Erhart		
Gustaf	Ericsson		
Anton	Erkelenz		
Eduard	Erkes		
Osip Arkadevic	Ermanskij		
Max	Ermers		
Erich	Ernst		
Friedrich	Ernst		
Otto	Ernst		
	Ernste		
Fritz	Erpenbeck		
Matthias	Erzberger		
Walter	Eschbach		
Hans	Espe		
Walter Maria	Espe		
Marthe Maria	Esperg		
Matthe Maria	Esperg		
Concha	Espina		
Günther	Eten		
Franz	Eugster		
Herbert	Eulenberg		
Max	Eulenberger		
Franz	Eulenburg		
Kornelius	Evang		
Max	Everwien		
Hanns Heinz	Ewers		
Ernest	Faber		
Walter	Fabian		
Alexander	Fadejew		
Aleksandr Aleksandrovič	Fadejew		Fadejew (Fadeev)
Heinrich	Faerber		
Marcell	Faerber		
Eduard	Fahlbusch		
Margarete	Fahnert		
Claude	Fairère		
Richard	Falck		
Richard	Falck		Falck, Richard, u. Olga Falck
Olga	Falck		Falck, Richard, u. Olga Falck
Heinz	Faldi		
Alfred	Falk		
Kurt	Falk		
Karl	Frey		Falke, Konrad [d. i. Karl Frey]
Hellmuth	Falkenfeld		
David	Farbstein		
Zwingli	Ulrich		Farner, Oskar [Hrsg.] s. Zwingli, Ulrich
Claude	Farrère		
Jörn	Farrows		Farrow, Jörn s. Abenteuer, Jörn Farrows. Gruppe Il.
Heinrich	Farwig		
Josef	Fattinger		
Felix	Fechenbach		
Penas	Fedenko		
Konstantin	Fedin		
Willi Richard	Fehse		Fehse, Willi Richard, u. Klaus Mann
Klaus	Mann		Fehse, Willi Richard, u. Klaus Mann
Hans	Feigl		
Arthur	Feiler		
Joseph	Feiner		Feiner, Joseph, Elias Gut und Theodor Rothschild
Elias	Gut		Feiner, Joseph, Elias Gut und Theodor Rothschild
Theodor	Rothschild		Feiner, Joseph, Elias Gut und Theodor Rothschild
Heinrich	Feiten		
Emil	Felden		
Franz Maria	Feldhaus		
Else	Feldmann		
Fritz Miroslav	Feller		
Rita	Felsen		
E.	Feodorow		
Edna	Ferber		
Johann	Ferch		
Sandor	Ferenczi		
Wladimir	Ferkes		
Max	Ferlin		
Max	Ferling		
Hernann	Fernau		
Wilhelm	Ferner		
Francisco	Ferrer-Guardia		
Enrico	Ferri		
Adolphe	Ferrière		
Meta	Kraus -Fessel		Fessel, Meta Kraus- s. Kraus -Fessel.
Lion	Feuchtwanger		
Otto Maria	Fidelis		
Paul	Fiebig		
Emil	Fiedler		
Kuno	Fiedler		
Korla Aug.	Fiedlers		
Vera	Figner		
Edo	Fimmen		
Konstantin	Fin		
Werner	Finck		
Hans	Fingeller		
Georg	Fink		
Heinrich	Finkelstein		
Konstantin	Finn		
Hans Walter	Finsterbusch		
Gennadij	Fisch		
Anton	Fischer		
Ernst	Fischer		
Hanna	Fischer		
Louis	Fischer		
Oskar	Fischer		
Ottokar	Fischer		
Paul	Fischer		
Pius	Fischer		
Richard	Fischer		
Rudolf	Fischer		
Ruth	Fischer		
Thomas	Fischer		
Wilhelm	Fischer		
Zyrill	Fischer		
Josef	Fischer		Fischer, Josef, Václav Patzak u. Vincenc Perth
Václav	Patzak		Fischer, Josef, Václav Patzak u. Vincenc Perth
Vincenc	Perth		Fischer, Josef, Václav Patzak u. Vincenc Perth
Josef	Fischer		Fischer, Josef, Vàclav Patzak, Vincenc Perth
Václav	Patzak		Fischer, Josef, Vàclav Patzak, Vincenc Perth
Vincenc	Perth		Fischer, Josef, Vàclav Patzak, Vincenc Perth
Eugen	Fischer-Baling		
Anna	Fischer-Dueckelmann		
Erich	Fitzner		
Otto	Flake		
Ritterio	Flapp		
Hermann	Fleischack		
Marieluise	Fleisser		
Hermann	Fleissner		
Edward L.	Fleming		
Walter	Flexius		
Wilhelm	Florian		
Wilhelm	Florin		
Carl August	Fluegge		
M. W.	Fodor		
Jolan	Foeldes		
Jolán	Foeldes		
Jolàn	Foeldes		
Friedrich Wilhelm	Foerster		
A.	Fogarasi		
Anthony	Fokker		
Oskar Maurus	Fontana		
Alexander	Forbath		
Irene	Forbes-Mosse		
Fritz	Foregger		
Ed.	Foreitnik		
August	Forel		
Georg	Forster		
Peter	Forster		
Dimitrij	Fourmanow		
Sidney	Fowler-Wright		
Ralph	Fox		
Alexander Maria	Fraenkel		
Ernst	Fraenkel		
Jonas	Fraenkel		
Wolf	Franck		
George, Sir [früher Baron]	Franckenstein		
Jean	François		
August	Frank		
Bruno	Frank		
Herbert	Frank		
Josef Maria	Frank		
Leonhard	Frank		
Wilhelm	Frank		
Rudolf	Frank		Frank, Rudolf, u. Georg Lichey
Georg	Lichey		
Klaus	Franken		
Paul	Franken		
Alex Viktor v.	Frankenberg u. Ludwigsdorf		
Alfred	Frankenfeld		
Walther	Franke-Ruta		
S.	Frankfurt		
	Frantz		
Leopold	Franz		
Rudolf	Franz		
Emil	Franzel		
Georg	Franzelius		
Friedrich	Franzen		
Franz	Franziss		
	Frateco		
Bruno	Frei		
Kurt	Freitag		
Peter	Freuchen		
Anna	Freud		
Sigmund	Freud		
Richard	Freund		
Alexander Moritz	Frey		
Arthur	Frey		
Karl	Frey		
Lothar	Frey		
Bruno	Fricke		
Alfred Hermann	Fried		
Emilie	Fried		Fried, Emilie, u. Paul Fried
Paul	Fried		Fried, Emilie, u. Paul Fried
Albert	Friedenthal		
Egon	Friedlaender		
Elfriede	Friedlaender		
Otto	Friedlaender		
Robert	Friedlaender		
Salomo	Friedlaender		
