forename	surname	authorFirstname	authorLastname
F.	Lang		Lang, F. [Hrsg.]
Erich	Lange		
Ernst	Lange		
Friedrich Albert	Lange		
Max Karl zu	Hohenlohe-Langenburg		Langenburg, Max Karl Prinz zu Hohenlohe- s. Hohenlohe-Langenburg
Paul	Langenscheidt		
Georg	Langer		
M. D. Georg	Langer		
Wolfgang	Langhoff		
P.	Langner		
A.	Langowoy		
Georg	Langstein		
George	Lansbury		
Leo	Lapaire		
Boris	Lapin		
Dietrich	Lark		
Matthias	Laros		
Botho	Laserstein		
Berta	Lask		
Else	Lasker-Schueler		
Otto	Laß		
Ferdinand	Lassalle		
Erich	Lasswitz		
Jef	Last		
Leo	Latscher		
Adolf Andreas	Latzko		
Alfred	Laub		
Eva Johanna	Laube		
H.	Lauer		
Heinrich	Laufenberg		
Ernest	Laurence		
Emile	Laurent		
Emile	Laurent		Laurent, Emile, und Paul Nagour
Paul	Nagour		Laurent, Emile, und Paul Nagour
August Heinrich	Lauriolle		
David Herbert	Lawrence		
Hans	Lawrenz		
Sofie	Lazarsfeld		
Ferdinand	Le Bourgeois		
Erwin	Le Mang		
Denise	Leblond-Zola		
Alfred	Lechler		
Zenon	Leder		Leder, Zenon
Ernst	Lehmann		
Lotte	Lehmann		
Otto	Lehmann		
C.	Lehmann		Lehmann, C., und Parvus
Otto	Lehmann-Russbueldt		
Anfried	Lehmkuhl		Lehmkuhl, Arnfried [Hrsg.]
Friedrich	Lehner		
Gustav	Lehnert		
Curt Carl Adolf	Lehning		
Otto	Leichter		
Eva	Leidmann		
Martin	Leinert		
Kurt	Leipzig	Kurt	Leipzig (Pseud.)
Clara	Leiser		
Ellegaard	Ellerbek	Leisner, Gustav [wirkl. Name] s. Ellerbek, Ellegaard.	
Wilhelm	Leitgebel		
Emmy	Leitner		
M.	Lejeune-Jehle		
Alfred	Lemm		
Camille	Lemonnier		
Emil	Lengyel		
Ludwig	Lenhart		
Wladimir Iljitsch	Lenin		
Emil	Lenk		
Eugen	Lennhoff		
Paul	Lensch		
Josef	Lenz		
Rudolf	Leonhard		
Leonid	Leonov		
A.	Leontjew		
Claire	Lepére		
Karl	Lerbs		
Leo	Lerche		
Michail Jurévič	Lermontow	Michail Jurévič	Lermontow [Lermontov]
Alexander	Lernet-Holenia		
Franz	Leschnitzer		
Ceslaw	Leska		
Theodor	Lessing		
Walter	Leubuscher		
J. H.	Leunbach		
Hans	Leuss		
Fritz von	Leutersdorff		
Heinrich	Leuthold		
Paul	Levi		
J. Don	Levine		
Eugen	Leviné		
Rosa	Leviné		
Elisabeth-Esther	Levy		
Sarah	Levy		
Ludwig	Levy-Lenz		
Herbert	Lewandowski		
Samuel	Lewin		
L. D.	Lewin	L. D.	Lewin [Levin]
Richard	Lewinsohn		
Sinclair	Lewis		
Ludwig	Lewisohn		
Gerhard von	Leyst		
Martin	Lezius		
Pierre	Lhande		
Jurij	Libedinsky		
Mechthild (Fürstin)	Lichnowski		
Karl Max	Lichnowsky		
Siegfried	Lichtenstaedter		
Lou	Lichtveld		
Leopold	Lichtwitz		
Vladimir	Lidin		
Wladimir (Vladimir)	Lidin		
Fritz	Lieb		
Matjew	Liebermann		
Arthur	Liebert		
O.	Liebetreu		
Karl	Liebknecht		
Wilhelm	Liebknecht		
Karl	Lieblich		
Urs	Liechti		
Josef	Liener		
Heinz	Liepmann		
Moritz	Liepmann		
Wilhelm	Liepmann		
P.	Liesenfeld		
Emilian	Lilek		
Jean de	L'Ill		
Samuel	Limbach		
Tschen	Lin		Lin, Tschen s. Tschen Lin
Heinrich	Linde		
Frido	Lindemann		
Walter u. Anna	Lindemann		
Jakob	Linden		
Eduard	Lindenmeyer		
Albert Werner	Lindegger		Lindi [d. i. Lindegger, Albert Werner]
Albert Werner	Lindegger		Lindi [Pseud.] s. Lindegger, Albert Werner.
E.	Lindner		
Benjamin Barr	Lindsey		
Benjamin Barr	Lindsey		Lindsey, Benjamin Barr, u. Wainright Evans
 Wainright	Evans		Lindsey, Benjamin Barr, u. Wainright Evans
Paul	Lingemann		
Richard	Linsert		
Ferdinand	Lion		
Richard	Lipinski		
Nathan	Lipman		
Franz	Lipp		
Z.	Lippay		
Jakob	Lippmann		
Eva	Lips		
Siegfried	Lipschuetz		
Hippolyte Prosper Olivier	Lissagaray		
Ernst	Lissauer		
Paul	Lissmann		
A.	Litwak		
Maksim Maksimovič	Litwinow		
Maxim M.	Litwinow		
Fedor	Liubow		
Nicolai	Ljeonow		
Richard	Llewellyn		
J. William	Lloyd		
Josef	Loebel		
Walter	Loehde		
Ernst Friedrich	Loehndorff		
Busso	Loewe		
Karl	Loewenstein		
Kurt	Loewenstein		
Hubertus Maria Friedrich Graf v.	Loewenstein-Scharfeneck		
Hubertus Prinz zu	Loewenstein-Wertheim-Freudenberg		
Karl	Loewith		
Julius	Loewy		
Anatolij	Loginow		
Johannes	Lohmann		
Richard	Lohmann		
Erich	Lohner		
Alfred	Loisy		
Jurij W.	Lomonossoff		
Jack	London		
Albert	Londres		
Richard Maximilian	Lonsbach		
Carl	Loog		
Hendrik Willem van	Loon		
C.A.	Loosli		
Carl	Loosli-Usteri		
F.	Lopatin		
Stefan	Lorant		
Hans	Lorbeer		
Peter	Lorenz		
Jakob	Lorenz-Zaleski		
Emily Overend	Lorimer		
Johannes	Lortzing		
	Losa		
Alexander	Losowsky		
Ernst	Lothar		
Rudolf	Lothar		
Heiner	Lotze		
Pierre	Louys		
Alfred	Lowitsch		
Alexander	Lubin		
Kurt G. W.	Ludecke		
Erich	Ludendorff		
Mathilde	Ludendorff		
Adolf	Ludwig		
Emil	Ludwig		
Florentin	Luecke		
Ernst	Luedemann		
Erwin	Luedersdorf		
Walter	Luetgebrune		
Walter	Luethi		
Walther	Luethi		
Wilhelm	Luftig		
Georg	Lukacs		
Michael	Lukjanow		
Anatolij	Lunatscharskij		
Heinz	Lunau		
Ferdinand	Lundberg		
Hans	Lungwitz		
David	Luschnat		
Walter	Lustig		
Albert	Lux		
Heinrich	Lux		
Hermann Joseph	Lux		
Joseph August	Lux		
Rosa	Luxemburg		
Eugène	Lyons		
Johan	Maarten		
Joachim	Maass		
Alfred	Mac Cann		
Alfred	Machard		
Raymonde	Machard		
Boris	Machlin		
Hertwig	Machts		
John Henry	Mackay		
Mary	Macmillan		
Robert	Maeder		
Maurice	Magre		
Alma	Mahler		
Elsa	Mahler		
Hans Heinrich August Ludwig	Mahlmann		
Artur	Mahraun		
Ferdinand	Mainzer		
Wladimir	Majakowsky		
William James	Makin		
Curzio	Malaparte		
Paul	Malek		
A.	Malenki		
Bronislav	Malinowski		
Stefan	Malinowski		
Theodor	Malkmus		
Bertil	Malmberg		
André	Malraux		
Josef	Maneles		
Georg	Manes		
Erika	Mann		
Heinrich	Mann		
Klaus	Mann		
Thomas	Mann		
Wilhelm	Mann		
Karl	Mannheim		
Georg	Mannheimer		
Paul	Mantegazza		
Dimitri S.	Manuilski		
Sandor	Márai		Márai, Sandor, und László Dormándi
László	Dormándi		Márai, Sandor, und László Dormándi
Friedrich	Marby		
H. P.	Marchant		
Karl	Marchionini		
Hans	Marchwitza		
Siegfried	Marck		
Valeriu	Marcu		
Ernst	Marcus		
Julian	Marcuse		
Ludwig	Marcuse		
Jolanthe	Marès		
Vally von	Margitfalva		
P.	Margolis		Margolis, P., H. Ritter u. Stella Seidler
H.	Ritter		Margolis, P., H. Ritter u. Stella Seidler
Stella	Seidler		Margolis, P., H. Ritter u. Stella Seidler
Paul	Margueritte		
Paul u. Viktor	Margueritte		
Paul und Viktor	Margueritte		
Victor	Margueritte		
Jaroslav	Maria		
Franz	Mariaux		
Marie Madeleine	Baronin von Puttkamer		Marie Madeleine (Pseud.)
Jacques	Maritain		
Gabriel	Markos		
F.	Markosch		
S.	Markovic		
Ludwig von	Marnitz		
Ernst	Martens		
Kurt	Martens		
Paul	Marti		
Kurt	Martin		
Peter	Martin		
D.	Martschenko		
André	Marty		
Alexander	Martynow		
Heinrich	Marx		
Hugo	Marx		
Karl	Marx		
Magdeleine	Marx		
Franz	Masereel		
Peter	Maslowski		
John H.	Matter		
W.	Matwejew		
Camille	Mauclair		
Max	Maurenbrecher		
Adolf	Maurer		
Hans	Maurer		
Martin	Maurice		
Daphne	Du Maurier		Maurier, Daphne du s. Du Maurier.
Emil	Herzog	André (d. i. Emil Herzog)	Maurois
Gustav Ludwig	Max		
Josef	Maximilian		
Anton	Maxsein		
William Babington	Maxwell		
Eduard	Mayer		
Gustav	Mayer		
Theodor	Mayer		
Kaspar	Mayr		
Guy	Mazeline		
Isaak	Mazepa		
Albert	Meerkatz		
Frieda	Mehler		
Klaus	Mehnert		
Franz	Mehring		
Walter	Mehring		
Friedrich	Mehringer		
Heinrich Christian	Meier	Heinrich Christian	Meier [Pseud.: Meier-Parm]
Heinrich Christian	Meier	Meier-Parm, Heinrich Christian (Pseud.) s. Meier, Heinrich Christian.	
Peter	Meinhardt		
Hans	Meiser		
Helmut	Meisner		
Wanda	Melcer		
Willy	Melchert		
Rose	Meller		
Uto	Melzer		
Herbert	Melzig		
Hans	Mend		
Anja	Mendelssohn		
Peter	Mendelssohn		
Bernhard	Menne		
Carl A.	Mennicke		
Alexander	Menningen		
Peter	Merin		
Friedrich	Merkenschlager		
Friedrich	Merkenschlager	Merkenschlager, Friedrich, u. Karl Saller	
Karl	Saller	Merkenschlager, Friedrich, u. Karl Saller	
Frances u. Mason	Merrill		
Violet A.	Merris		
Carl	Mertens		
Konrad	Merz		
W. J.	Meshlauk		
August	Messer		
Johannes	Messner		
Max J.	Meth		
Alexander	Mette		
Helmut	Metzger		
Franz	Metzler		
Willy	Mewes		
Anna	Meyenberg		
E. C. Albrecht	Meyenberg		
Arthur Emanuel	Meyer		
Conrad Ferdinand	Meyer		
Emil	Meyer		
Rudolf	Meyer		
Paul	Meyer-Schwarzenbach		
Gustav	Meyrink		
Vladimír	Mičan		
Friedrich	Michael		
Otto	Michael		
Wilhelm	Michael		
Cassie	Michaelis		
Karin	Michaelis		
Paul	Michaelis		
Cassie	Michaelis		Michaelis, Cassie, Heinz Michaelis u. W. O. Somin
Heinz	Michaelis		Michaelis, Cassie, Heinz Michaelis u. W. O. Somin
W. O.	Somin		Michaelis, Cassie, Heinz Michaelis u. W. O. Somin
N.	Michailow		
E. L.	Michel		
Wilhelm	Michel		
Adam	Mickiewicz		
Hippolit	Middecke		
Willi	Mielenz		
P.	Mif		
Madeleine	Migeon		
Johann Karl	Mikisch		
A. J.	Mikojan		
E. M.	Mikulina		
George	Milburne		
Hedwig S.	Milde		
Herbert	Rosinski		Miles
Herbert	Rosinski		Miles [Pseud.] s. Rosinski, Herbert [wirkl. Name]
	Miles <ecclesiae> 		Miles Ecclesiae (Pseud.)
Wladimir Paul	Miljutin		
Anton van	Miller		
Friedrich M.	Minck		
Th.	Mindt		
Wang	Ming		
B.	Minlos		
I.	Minz		
Rudolf	Mirbt		
W.	Mirowitsch	W. [V.]	Mirowitsch [Mirovič]
Werner	Mittelbach		
Hans	Mitteweider		
K.	Mittler-Neuter		
Vilhelm	Moberg		
Gaston	Moch		
Willy	Moebus		
Oskar M.	Moeller		
Gino Forst von	Moellwitz		
Johann	Moerzinger		
Felix	Moeschlin		
E.	Mohr		
Heinz	Mohr		
Max	Mohr		
Fritz	Mohrstein-Marx		
Hendrik de	Molder		
Albert	Moll		
Vjačeslav Michailovič	Molotov	W. M.	Molotow
Vjačeslav Michailovič	Molotov	W. [Vjačeslav Michailovič]	Molotow [Molotov]
Friedrich	Monka		
Dino	Montanara		
L. G.	Montefiore		
Gustav	Morcinek		
Kurt	Moreck		
Werner	Morf		
Christopher	Morley		
Jacques	Mortane		
Alexander	Mosler		
Friedrich	Most		
Johann	Most		
Alexander	Moszkowski		
Fina	Mot		
T.	Motylewa		
Karl Albert	Motzer		
Karel	Moudry		
Emmanuel	Mounier		
Edgar Ansel	Mowrer		
Lilian T.	Mowrer		
Friedrich	Muckermann		
Hermann	Muckermann		
Friedrich	Muckle		
Ernst	Muehlbach		
Hans	Muehle		
Norbert	Muehlen		
Hans	Muehlestein		
Wilhelm	Muehlon		
Erich	Muehsam		
Kreszentia	Muehsam		
Kurt	Muehsam		
Albert	Mueller		
Arthur	Mueller		
Artur	Mueller		
Christian	Mueller		
Emil	Mueller		
Emil Reinhard	Mueller		
Erich	Mueller		
Gustav	Mueller		
Hertha	Mueller		
Jacques	Mueller		
Joachim	Mueller		
Johannes	Mueller		
Johannes Martin	Mueller		
Nikolaus	Mueller		
Oskar	Mueller		
Otto	Mueller		
Richard	Mueller		
Robert	Mueller		
Sven von	Mueller		
Walter	Mueller		
Hans	Mueller-Einigen	Hans	Mueller -Einigen
Karl	Mueller(-Braunschweig)		
Hermann	Mueller(-Franken)		
Karl	Thieme		Mueller, Michael [Pseud.] s. Thieme, Karl [wirkl. Name].
Ernst	Mueller-Ahremberg		
R.	Mueller-Kersting		
Arthur	Mueller-Lehning		
Franz	Mueller-Lyer		
Moritz	Mueller-Zollstock		
Jakob	Muenter		
Wilhelm	Muenzenberg		
Kurt	Muenzer		
Michael	Muenzer		
Niels J.	Muerer		
Franz Ludwig	Mueller	Michael	Müller-Claudius [d. i. Franz Ludwig Mueller)
Franz Ludwig	Mueller	Michael	Müller-Claudius [d. i. Franz Ludwig Mueller]
Giselher	Mumm		
Ernst Moritz	Mungenast		
Walter	Munin		
Maria 	Volpi		Mura (Pseud.)
Gustav	Keckeis		Muron, [Johannes, d. i. Gustav Keckeis]
Gustav	Keckeis		Muron, Johannes [Pseud.] s. Keckeis, Gustav [wirkl. Name]
Gilbert	Murray		
Reinhold Conrad	Muschler		
Robert	Musil		
Jean	Mussard		
Alfred	Mussliner		
E.	Mylius		
Ingbert	Naab		
Werner	Naef		
H.	Nagler		
Max	Nagler		
Fritz	Naphtali		
Max	Nassauer		
Siegfried	Nassauer		
Felice	Natale		
Annemarie von	Nathusius		
Hans	Natonek		
Max	Naumann		
Rudolf	Nauta		
Hans	Nawiasky		
Wilhelm, Dr.	Necker		
Theo Paul	Neef		
Cheikh	Nefzaui		
Carola	Henschke		Neher, Carola [Mädchenname] s. Henschke, Carola.
A.	Nelepin		
Alfred	Nelius		
Sigmund	Nelken		
Heinrich	Nelson		
Leonhard	Nelson		
Antoni W.	Nemilow		
	Nemo		Nemo (Pseud.)
Pietro	Nenni		
Paul	Nettl		
Georg	Netzband		
Paul	Neubauer		
Th.	Neubauer		
A.	Neuberg		
Josef	Neuberger		
Siegbert	Neufeld		
Klaus	Neukrantz		
Alfred	Neumann		
Franz	Neumann		
Heinz	Neumann		
Heinz-Werner	Neumann		
Karl	Neumann		
Margarete	Neumann		
Martin	Neumann		
Robert	Neumann		
Margarete	Neumann	Margarete	Neumann, geb. Thalheimer
Otto	Neurath		
Alexander	Newerow		
W. J.	Newski		
Karl	Neye		
Vítězslav	Nezval		
Amerikas grösster Detektiv. Bd 8	Nick Carter		
Georg Friedrich	Nicolai		
Ernst Gottwald	Nicolas		
Peter	Nicolas		
Léon	Nicole		
Harold	Nicolson		
Gustav	Niederberger		
Georg	Niederlechner		
Albert	Niedermeyer		
Ernst	Niekisch		
Fritz Walter	Nielsen		
Martin	Niemoeller		
Walter	Nigg		
Ekatarina D.	Nikitina		
A.	Nikolajew		
Ol'ga N.	Nikonova	0. N.	Nikonowa [Nikonova]
Lev V. 	Nikulin	Leo	Nikulin
Lev V. 	Nikulin	Lev	Nikulin
Otfried	Nippold		
Benedikt Momme	Nissen		
Francesco	Nitti		
Ulrich	Noack		
Victor	Noack		
Alphons	Nobel		
Ernst	Nobs		
Erik	Noelting		
Jakob	Noetges		
Richard Hermann	Nold		
Arnold	Nolden		
Heinz	Nonveiller		
Willy	Norbert		
Ragnar	Nordli		
Peter	Norelli		
Gustav	Noske		
Leo	Nouissimbaum		
Jacques	Novicow		
Josef	Nowak		
Karl Friedrich	Nowak		
Aleksei	Nowikow-Priboi		
Aleksei	Nowikow-Priboi		Nowikow-Priboi, Aleksei, P. G. Nisowoi u. J. Rachillo
P. G.	Nisowoi		Nowikow-Priboi, Aleksei, P. G. Nisowoi u. J. Rachillo
J.	Rachillo		Nowikow-Priboi, Aleksei, P. G. Nisowoi u. J. Rachillo
Rolf	Nuernberg		
Edmund	Nuernberger		
Anna	Nussbaum		
Friedrich	Oberschilp		
Friedrich Eduard	Oberth		
Erna	Obgartel		
Franz	Odermatt		
Irina	Odojewzew		
Anna	Oehler		
Walter	Oehme	Walter	Oehme u. Kurt Caro
Kurt	Caro		
Richard	Oehring		
Ernst	Oehrlein		
Rudolf	Oelbermann		
Karl	Oelbermann	Karl	Oelbermann u. Walter Tezlaff
Walter	Tezlaff		
Tami	Oelfken		
Fritz	Oerter		
Hermann	Oesterwitz		
Heinrich	Offergeld		
Liam	O'Flaherty		
Nikolaj	Ognjew		
Theophil	Ohlmeier		
Johann	Ohrtmann		
Humbert	Wolfe		Oistros
Theodor	Okon		
Oda	Olberg		
Balder	Olden		
Rudolf	Olden		
Reinhold	Olesch		
Jurij	Oleschna		
Erich	Ollenhauer		
Hagar	Olsson		
Friedrich v.	Oppeln-Bronikowski		
Edward Phillips	Oppenheim		
Eugen H.	Oppenheimer		
Franz	Oppenheimer		
Friedrich	Oppenheimer		
Max	Oppenheimer		
S.	Ordshonikidse		
Anton	Orel		
Wladimir d'	Ormesson		Ormesson, Wladimir d'
Lena	Osswald		
Maria	Osten-Sacken		
Hans	Ostwald		
August	Ott		
Karl	Otten		
Karl August Gottlob	Otto		
Luise	Otto		
Max	Otto		
Ernst	Otto		Otto, Ernst, u. Max Anton
Max	Anton		Otto, Ernst, u. Max Anton
A.	Otto-Walster		
Ernst	Ottwalt		
Pierre van	Paassen		
Olavi	Paavolainen		
Paul	Pachaly		
George	Padmore		
Kurt	Paehlke-Weishaar		
Karl (Carl)	Paeschke		
Maria	Paessens		
Karl Otto	Paetel		
Karl Otto Wilhelm	Paetel		
Tharsicius	Paffrath		
Fortuné	Paillot		
N.P.	Pajalin		
Philipp	Paneth		
Fedor	Panferow		
Ernst	Panhans		
Ivan	Panin		
Otto	Pankok		
Anton	Pannekoek		
Leonid	Pantelejew		
Käthe	Papke		
Jaroslav	Papoušek		
Ernst	Parell		
A. J. B.	Parent-Duchatelet		
Maurice	Parmelee		
J.	Paschukanis		
Fred D.	Pasley		
Josef	Pata		
Julius	Patzelt		
Eduard	Paul		
Ewald	Paul		
H.	Paul		
Hermann	Pauli		
Hertha	Pauli		
Konstantin	Paustowski		
Pjotr	Pawlenko		
Friedrich	Payer		
Josef	Pechacek		
Fl. J. P.	Peeters		
Sigismund	Peller		
Heinz von	Perckhammer		
L.	Perenna		
Oktavio	Perez		
Maurice	Pernot		
François	Perroux		
Leo	Perry		
Lothar	Persius		
Camille	Pert		
Otto 	Leichter		Pertinax (Pseud.)
L.	Pertschik		
Karl	Peter		
Josef	Petermann		
Hugo	Peters		
Jan	Petersen		
Jes	Petersen		
Thomas	Petersen		
Reinhold	Peting		
Peter and Irma	Petroff		
Arbiter Titus	Petronius		
Peter	Petry		
Johann	Petzler		
Karl	Pfaff		
Hermann	Pfatschbacher		
Sofia	Pfauówna		Pfauówna, Sofia, und Stanislaus Rossowski
Stanislaus	Rossowski		
Heinrich	Pfeiffer		
Max	Pfeiffer		
Hans	Pfeil		
Franz	Pfemfert		
Emil	Pfenningsdorf		
Oskar	Pfister		
Karl	Pfleger		
Hans	Pfoertner		
André	Philip		
Rudolf	Philipp		
Charles Louis	Philippe		
Julius	Piech		
Paul	Piechowski		
Wilhelm	Pieck		
André	Pierre		
Herma	Piesch		
Georg W.	Pijet		
Boris A.	Pilnjak		
Erich	Pincus		
Ernst Friedrich	Pinkert		
Hans Wilhelm	Pinkow		
Felix	Pinner		
Johannes	Pinsk		
Leon	Pinsker		
Kurt	Pinthus		
Erwin	Piscator		
Frank	Pitcairn		
	Pitigrilli		
Osip	Pjatnitzki		
Siegfried	Placzek		
Karl	Plaettner		
Robert	Planck		
Wilhelm	Platz		
Georgij Valentinovič	Plechanov	Georg V.	Plechanow
Georgij Valentinovič	Plechanov	G. W.  [Georgij Valentinovič]	Plechanow [Plechanov]
Georgij Valentinovič	Plechanov	G. W. [Georgij Valentinovič]	Plechanow [Plechanov]
Georgij Valentinovič	Plechanov	G[eorgij] W. [Valentinovič]	Plechanow [Plechanov]
Helmut	Plessner		
Martin	Plettl		
Theodor	Plivier		
Waldemar Felix	Poetzsch		
Josef	Pogany		
Nikolai	Pogodin		
A.	Pogossow		
Gerhart	Pohl		
Heinz	Pohl		
Ludwig	Pohle		
Michail N.	Pokrowski		
Heinz	Pol		
Luigi	Polano		
Alfred	Polgar		
Kamillo	Policky		
Emil	Pollak		
Gustav	Pollatscheck		
Stefan	Pollatschek		
Henri	Polles		
Friedrich	Pollock		
Wilhelm	Polzer		
B.	Ponomarew		
Aleksandr S.	Popov		
Nikolai N.	Popow		
Adelheid	Popp		
Krzysztof	Poraj		
Josepha	Kraigher-Porges		Porges, Josepha Kraigher- s. Kraigher-Porges.
J. Elias	Poritzky		
Paul	Portmann		
F.	Pose		Pose, F., E. Matte u. E. Wittenberg
E.	Matte		Pose, F., E. Matte u. E. Wittenberg
E.	Wittenberg		Pose, F., E. Matte u. E. Wittenberg
Hans von	Possendorf		
P.	Postyschew		
Raimund	Poukar		
Henry	Poulaille		
	Prag		
Eugen	Prager		
Ernst	Preczang		
Alfred 	Baudrillart		Préf.: Card. (Alfred) Baudrillart
Hans	Prehn von Dewitz		
Oswald	Preisser		
Gertrud	Prellwitz		
Hugo	Preuss		
Stefan	Priacel		
Max	Pribilla		
Morgan Philips	Price		
Ward	Price		
Karl	Prieser		
Hans Erich	Priester		
Hans-Erich	Priester		Priester, Hans-Erich
John Boynton	Priestley		
Louise Sophie	Prinzessin v. Preussen		
Willy	Proeger		
W. W.	Prokofjew		
Eduard	Prokosch		
Frederik	Prokosch		
Walery	Przyborowski		
Heinrich	Pudor		
Rudolf	Puehrer		
Eduard Oskar	Puettmann		
Julius	Pupp		
Roland de	Pury	Roland de	Pury [Mitarb.]
Eugen	Putti		
Anton	Putz zu Adlersthum		
Heinrich	Putzner		
Rudolf	Quanter		
Georg	Queri		
Alfred de	Quervain		
Ludwig	Quidde		
C. Bernaldo de	Quiros		Quiros, C. Bernaldo de, und J. M. L. Aguilaniedo
J. M. L.	Aguilaniedo		Quiros, C. Bernaldo de, und J. M. L. Aguilaniedo
Johann	Rabener		
Max	Rabenhorst		
Salom	Rabinowič		
Rudolf	Rabitsch		
Gustav	Radbruch		
Karl	Radek		
Friedrich	Radszuweit		
Martin	Radt		
Netty	Radvanyi		
Jan	Radyserb		
Eva	Raedt-de Canter		
Klara	Ragaz		
Leonhard	Ragaz		
Fritz	Rager		
Walter	Rainer		
Ruth	Rajewska von Weiher		
Jörgen	Rakos		
Josef	Rambeck		
Charles Ferdinand	Ramuz		
Gustav	Rasch		
Walther	Rathenau		
Klara	Ratzka		
Hans	Rau		
Israel	Rau		
Wendelin	Rauch		
Hermann	Rauschning		
Otto	Rauth		
Carl	Rautmann		
Vjačeslav	Razumovič-Chmara		
Max	Wullschleger		Red. v. Max Wullschleger
Antoine	Redier		
C.	Redo	C	Redo
C.	Redo		
Johannes	Reeb		
Douglas	Reed		
John	Reed		
Maria	Reese		
Heinrich	Regius		
Gustav	Regler		
Hermann	Rehwaldt		
Kurt Frh. von	Reibnitz		
Annie	Reich		
Wilhelm	Reich		
Willi	Reich		
Joachim von	Reichel		
Joachim von	Reichel	Joachim von	Reichel [Pseud.: Kürenberg]
Emanuel	Reichenberger		
David	Reichinstein		
Herbert	Reichstein		
Ilse	Reicke		
Elise	Reifenberg		
Theodor	Reik		
Günther	Reimann		
Hans	Reimann		
Eduard	Reimer		
Wilhelm	Reimes		
Georg	Reinbold		
Ernst	Reinhard		
Hans	Reinhard		
Wilhelm	Reinhard		
Hans	Reinhardt	Hans	Reinhardt [Hrsg.]
Hans	Reinhardt		Reinhardt, Hans [Hrsg.]
Leo	Reinisch		
Hans	Reinow		
Hans	Reinsch		
Johannes	Reinwaldt		
Larissa	Reissner		
Werner	Reist		
Gustav	Reitmann		
Ferdinand Frh. von	Reitzenstein		
Erich Maria	Remarque		
Adam	Remmele		
Hermann	Remmele		
Otto	Remmele		
Benno	Renald		
Albert	Renard		
Gaston	Renée		
Ludwig	Renn		
Karl	Renner		
Paul	Renner		
Edbert	Rentner		
Eike von	Repkow		Repkow, Eike von (Pseud.)
Lothar von	Reppert-Rauten		
Nicolas	Rétif de la Bretonne		
Hans	Reupke		
Michael von	Reusner		
Josef Maria	Reuß		
Imre	Révész		
Karl	Revetzlow		
Moritz von	Reymond		
Gonzague de	Reynold		
Marquis Francisco de	Reynoso		
Th. v.	Rheine		
Ernst	Rheinlaender		
Fernand	Rhodes		
Gaston	Richard		
Alfred	Richter		
Eugen	Richter		
Friedrich	Richter		
Georg	Richter		
Justin	Richter		
Martin	Richter		
P.	Richter		
Trude	Richter		
Valentin	Richter		
Walter	Richter-Reichhelm		
Fritz	Riebold		
Hans	Riedel		
Karl-Heinz	Riedel		
Egon	Riedinender		
Otto	Riedrich		
Paul	Rieger		
Augusto	Riehl		
Henriette	Riemann		
Robert	Riemann		
Wilhelm	Riepekohl		
Herta	Riese		
Cevat	Rifat Bey		
Robert	Rigel		
Joachim	Ringelnatz		
Franz von 	Rintelen		Rintelen, Captain von <Franz Rintelen von Kleist>
Robert Le Roy	Ripley		
Peter	Riss		
Ernst	Ritter		
Hans	Ritter		
Anna	Kazmierczak		Ritter, Anna [Mädchenname] s. Kazmierczak, Anna
Wolf	Ritter-Bern		
Heinrich Georg	Ritzel		
Albert	Rivaud		
W. C	Rivers		
Friedrich	Robert		
Paul A.	Robert		
F.	Roberti		
Franz	Roberts		
Helmuth	Roberts		
Stephen H.	Roberts		
John Mackimon	Robertson		
Kurt	Robitschek		
Alfred	Robitsek		
Franz	Robl		
Karl	Roche		
Christa Maria	Rock		Rock, Christa Maria, u. Hans Brückner
Hans	Brückner		Rock, Christa Maria, u. Hans Brückner
Rudolf	Rocker		
Sandor Friedrich	Rosenfeld		Roda-Roda, Alexander [Pseud.] s. Rosenfeld, Sandor Friedrich.
Walter	Rode		
Elisabeth	Rodenberg		
Hans	Rodenberg		
Ferdinand	Rodenstein		
A.	Rodin		
August	Roeckel		
Otto	Roeckh		
Ernst	Roehm		
Ruth Margarete	Roellig		
Rolf	Roenneke		
Friedrich	Roetter		
Franz	Roh		Roh, Franz, u. Jan Tschichold
Jan	Tschichold		Roh, Franz, u. Jan Tschichold
Karl Anton	Rohan		
Franz	Rohleder		
Hermann	Rohleder		
Hans	Rohmer		
Sax	Rohmer		
Henriette	Roland-Holst van der Schalk		
Romain	Rolland		
Curt	Rombach		
Otto	Rombach		
Armin	Ronai		
Max	Ronge		
Franklin D.	Roosevelt		
Sergej	Rosanow		
Heinz	Roscher		
Alfons Waldemar	Rose		
Pascal	Rose		
Erwin	Rosen		
J.	Rosen		
Eduard	Rosenbaum		
Arthur	Rosenberg		
J.	Rosenberg		
Maximilian	Rosenberg		
Erwin	Rosenberger		
Fritz	Rosenfeld		
Kurt	Rosenfeld		
Martin	Rosenfeld		
Sandor Friedrich	Rosenfeld	Sandor Friedrich	Rosenfeld (Pseud.: Roda-Roda)
Paul	Rosenhayn		
Emil	Rosenow		
Alfred	Rosenthal		
Wilhelm	Rosenthal		
Kazimierz	Rosinkiewicz		
Herbert, Dr.	Rosinski	Herbert, Dr.	Rosinski [Pseud.: Miles]
Theophil	Rossel		
Hans	Rossen		
Carlo	Rossi		
Hans	Rost		
Robert	Rotach		
Cecil	Roth		
Eugen	Roth		
Joseph	Roth		
Franz	Rothenfelder		
Alexander	Rothermel		
Helene	Rothhart		
