Werner, Max	http://d-nb.info/gnd/117303399, http://d-nb.info/gnd/121586545, http://d-nb.info/gnd/134104803, http://d-nb.info/gnd/140580972, http://d-nb.info/gnd/144050765
Wittfogel, Karl August	http://d-nb.info/gnd/118634305
Piechowski, Paul	http://d-nb.info/gnd/116179511
Pfaff, Karl	http://d-nb.info/gnd/116140410, http://d-nb.info/gnd/116140437, http://d-nb.info/gnd/137245866, http://d-nb.info/gnd/139168036, http://d-nb.info/gnd/140232621
Wolf, Victoria	http://d-nb.info/gnd/11744328X
Brauer, Peter	http://d-nb.info/gnd/118660012, http://d-nb.info/gnd/140135022, http://d-nb.info/gnd/17418915X, http://d-nb.info/gnd/1038174090
Zernatto, Guido	http://d-nb.info/gnd/11863657X
Strieber, Gerdy	http://d-nb.info/gnd/1042684545
Schramm, C. A.	
King, Rufus	http://d-nb.info/gnd/1034288547
Schmidt, Eleonore	http://d-nb.info/gnd/140477098, http://d-nb.info/gnd/1044336730
Armstrong, Hamilton Fish	http://d-nb.info/gnd/121907864
Alexander, L.	http://d-nb.info/gnd/126304505, http://d-nb.info/gnd/141083247
Langner, P.	http://d-nb.info/gnd/126763712
Prieser, Karl	http://d-nb.info/gnd/116290129
Hermann, Georg	http://d-nb.info/gnd/116738634, http://d-nb.info/gnd/116738650, http://d-nb.info/gnd/118703706, http://d-nb.info/gnd/119706695, http://d-nb.info/gnd/119706695, http://d-nb.info/gnd/12028619X, http://d-nb.info/gnd/122210964, http://d-nb.info/gnd/129174793, http://d-nb.info/gnd/138996202, http://d-nb.info/gnd/173444962, http://d-nb.info/gnd/1012578216, http://d-nb.info/gnd/1012760855, http://d-nb.info/gnd/1019728507
Axelrod, Paul	http://d-nb.info/gnd/119556189
Mend, Hans	http://d-nb.info/gnd/129962449
Eckstein, Walther	http://d-nb.info/gnd/116350156
Weinberg, G. D.	http://d-nb.info/gnd/126924686
Friedmann, S.	http://d-nb.info/gnd/142913596
Kornmann, Ralf	http://d-nb.info/gnd/135162858
Mueller, Johannes	http://d-nb.info/gnd/117596582, http://d-nb.info/gnd/117596620, http://d-nb.info/gnd/117596701, http://d-nb.info/gnd/118641913, http://d-nb.info/gnd/130004073, http://d-nb.info/gnd/137757433, http://d-nb.info/gnd/143389025, http://d-nb.info/gnd/171395360, http://d-nb.info/gnd/1023167565
Niedermeyer, Albert	http://d-nb.info/gnd/121478548
Paffrath, Tharsicius	http://d-nb.info/gnd/13704089X, http://d-nb.info/gnd/17413780X
Bermann, Richard Arnold	http://d-nb.info/gnd/119292254
Rosenthal, Alfred	http://d-nb.info/gnd/141933879, http://d-nb.info/gnd/17344203X, http://d-nb.info/gnd/102852496X
Rodenberg, Hans	http://d-nb.info/gnd/118601695
Hohlfeld, Johannes	http://d-nb.info/gnd/11695776X
Duncker, Hermann	http://d-nb.info/gnd/116251700, http://d-nb.info/gnd/118528130, http://d-nb.info/gnd/121013502
Fischer, Louis	http://d-nb.info/gnd/118683705, http://d-nb.info/gnd/124098967, http://d-nb.info/gnd/124219357, http://d-nb.info/gnd/1035077345, http://d-nb.info/gnd/1038680980
Zarek, Otto	http://d-nb.info/gnd/116966378
Pollatschek, Stefan	http://d-nb.info/gnd/116264616
Hornung, Walter	http://d-nb.info/gnd/118772600, http://d-nb.info/gnd/1012274640
Stern, Bernhard	http://d-nb.info/gnd/117274216, http://d-nb.info/gnd/117391468
Budzislawski, Hermann	http://d-nb.info/gnd/117044369
Goergen, Josef M.	http://d-nb.info/gnd/104556852X
Repkow, Eike von	http://d-nb.info/gnd/118529501, http://d-nb.info/gnd/118561340, http://d-nb.info/gnd/1035180529
Zwehl, Hans von	http://d-nb.info/gnd/117603074, http://d-nb.info/gnd/119111861
Lassalle, Ferdinand	http://d-nb.info/gnd/118569910
Guggenheim, Werner Johannes	http://d-nb.info/gnd/116920289
Reinhard, Ernst	http://d-nb.info/gnd/116419555, http://d-nb.info/gnd/118692720, http://d-nb.info/gnd/122837959
Zapolska, Gabryela	http://d-nb.info/gnd/11880829X
Michael, Otto	http://d-nb.info/gnd/116243392, http://d-nb.info/gnd/117570613, http://d-nb.info/gnd/137537255, http://d-nb.info/gnd/1037525647
Naab, Ingbert	http://d-nb.info/gnd/118828193
Erzberger, Matthias	http://d-nb.info/gnd/11853100X
Schultze-Pfaelzer, Gerhard	http://d-nb.info/gnd/118611445
Fabian, Walter	http://d-nb.info/gnd/118531670, http://d-nb.info/gnd/12010220X
Hirsch, Leo	http://d-nb.info/gnd/101360924, http://d-nb.info/gnd/117525286, http://d-nb.info/gnd/1045512117
Lieblich, Karl	http://d-nb.info/gnd/116997222
Urbantschitsch, Rudolf	http://d-nb.info/gnd/1012967395
Quervain, Alfred de	http://d-nb.info/gnd/116318147, http://d-nb.info/gnd/118597310, http://d-nb.info/gnd/189572124, http://d-nb.info/gnd/104347370X
Odermatt, Franz	http://d-nb.info/gnd/117095648
Mowrer, Lilian T.	http://d-nb.info/gnd/134240251
Platz, Wilhelm	http://d-nb.info/gnd/116208678, http://d-nb.info/gnd/139215794, http://d-nb.info/gnd/1029625883
Sturm, Walter	http://d-nb.info/gnd/117366560, http://d-nb.info/gnd/118770950, http://d-nb.info/gnd/129704679, http://d-nb.info/gnd/138401039, http://d-nb.info/gnd/138402035, http://d-nb.info/gnd/138402094
Delmont, Joseph	http://d-nb.info/gnd/116064579
Michael, Friedrich	http://d-nb.info/gnd/118582070, http://d-nb.info/gnd/138377359, http://d-nb.info/gnd/174053878, http://d-nb.info/gnd/1020221658, http://d-nb.info/gnd/1024537935, http://d-nb.info/gnd/1045000485
Genin, Robert	http://d-nb.info/gnd/141500123
Karlweis, Marta	http://d-nb.info/gnd/116055774
Steinberger, N.	http://d-nb.info/gnd/119482649, http://d-nb.info/gnd/119838346, http://d-nb.info/gnd/119838346
Prokosch, Eduard	http://d-nb.info/gnd/116304782
Nawiasky, Hans	http://d-nb.info/gnd/118785796
Wirtz, Richard	http://d-nb.info/gnd/172454875
Rohmer, Sax	http://d-nb.info/gnd/107668904
Herrlich, Lotte	http://d-nb.info/gnd/131888560
Nobel, Alphons	http://d-nb.info/gnd/117035599
Braeuer, Walter	http://d-nb.info/gnd/143580191
Zollschan, Ignaz	http://d-nb.info/gnd/117012998
Grosz, George	http://d-nb.info/gnd/118542672
Jenssen, Otto	http://d-nb.info/gnd/124511996
Muehlon, Wilhelm	http://d-nb.info/gnd/11891622X
Schoenherr, Johannes	http://d-nb.info/gnd/133934411, http://d-nb.info/gnd/1034882244
Rosenberg, Arthur	http://d-nb.info/gnd/118749749
Dodel, Arnold	http://d-nb.info/gnd/118679988
Pankok, Otto	http://d-nb.info/gnd/118591533
Kurth, Hans	http://d-nb.info/gnd/128508698, http://d-nb.info/gnd/130080462, http://d-nb.info/gnd/133865045
Holzapfel, Attalus	http://d-nb.info/gnd/126685290
